"","itemset","item1","item2","item3","item4","item5","item6","item7","item8","item9","item10","item11","item12"
"39",39,"frozen vegetables","baking powder","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"40",40,"honey","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,"honey","domestic eggs","frozen meals","coffee",NA,NA,NA,NA,NA,NA,NA,NA
"42",42,"frozen vegetables","domestic eggs","fish","honey",NA,NA,NA,NA,NA,NA,NA,NA
"43",43,"coffee","domestic eggs","butter","baking powder","frozen meals",NA,NA,NA,NA,NA,NA,NA
"44",44,"butter","coffee","baking powder","ice cream","fish","frozen meals",NA,NA,NA,NA,NA,NA
"45",45,"baking powder","butter","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"46",46,"baking powder","domestic eggs","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"47",47,"coffee","ice cream","fish","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"48",48,"frozen meals","baking powder","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",49,"butter","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",50,"butter","grapes","baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",51,"frozen meals","cake bar","frozen vegetables","butter",NA,NA,NA,NA,NA,NA,NA,NA
"52",52,"honey","abrasive cleaner","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",53,"baking powder","butter","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",54,"baking powder","fish","domestic eggs","cake bar","butter",NA,NA,NA,NA,NA,NA,NA
"55",55,"ice cream","baking powder","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",56,"frozen vegetables","ice cream","frozen meals","honey",NA,NA,NA,NA,NA,NA,NA,NA
"57",57,"butter","frozen meals","coffee",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",58,"honey","cake bar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",59,"ice cream","fish","domestic eggs","honey",NA,NA,NA,NA,NA,NA,NA,NA
"60",60,"butter","baking powder","cake bar","ice cream","frozen vegetables",NA,NA,NA,NA,NA,NA,NA
"61",61,"coffee","baking powder","fish","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA
"62",62,"abrasive cleaner","honey","frozen vegetables","fish","ice cream",NA,NA,NA,NA,NA,NA,NA
"63",63,"butter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",64,"butter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",65,"abrasive cleaner","coffee","fish","butter","ice cream","baking powder","frozen meals",NA,NA,NA,NA,NA
"66",66,"grapes","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",67,"butter","coffee","baking powder","fish","frozen vegetables","frozen meals",NA,NA,NA,NA,NA,NA
"68",68,"abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",69,"ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",70,"baking powder","butter","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",71,"butter","grapes","baking powder","cake bar","fish",NA,NA,NA,NA,NA,NA,NA
"72",72,"baking powder","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",73,"butter","grapes","baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",74,"ice cream","grapes","domestic eggs","honey","fish",NA,NA,NA,NA,NA,NA,NA
"75",75,"butter","baking powder","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",76,"grapes","ice cream","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",77,"abrasive cleaner","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",78,"frozen vegetables","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",79,"frozen meals","butter","frozen vegetables","abrasive cleaner","ice cream",NA,NA,NA,NA,NA,NA,NA
"80",80,"fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",81,"baking powder","abrasive cleaner","grapes","cake bar","butter","coffee","frozen meals",NA,NA,NA,NA,NA
"82",82,"butter","abrasive cleaner","coffee","domestic eggs","baking powder","frozen meals",NA,NA,NA,NA,NA,NA
"83",83,"cake bar","butter","grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",84,"baking powder","coffee","butter","abrasive cleaner","fish","frozen meals",NA,NA,NA,NA,NA,NA
"85",85,"frozen meals","baking powder","coffee","butter","ice cream",NA,NA,NA,NA,NA,NA,NA
"86",86,"domestic eggs","grapes","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"87",87,"honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",88,"frozen meals","cake bar","grapes","butter",NA,NA,NA,NA,NA,NA,NA,NA
"89",89,"frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",90,"ice cream","abrasive cleaner","grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",91,"butter","coffee","frozen vegetables","cake bar","frozen meals",NA,NA,NA,NA,NA,NA,NA
"92",92,"grapes","honey","fish","ice cream",NA,NA,NA,NA,NA,NA,NA,NA
"93",93,"frozen meals","fish","frozen vegetables","cake bar",NA,NA,NA,NA,NA,NA,NA,NA
"94",94,"grapes","domestic eggs","cake bar",NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",95,"baking powder","grapes","fish","butter",NA,NA,NA,NA,NA,NA,NA,NA
"96",96,"abrasive cleaner","butter","frozen vegetables","grapes","domestic eggs",NA,NA,NA,NA,NA,NA,NA
"97",97,"domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",98,"honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",99,"butter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",100,"honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",101,"ice cream","grapes","abrasive cleaner","honey","frozen meals",NA,NA,NA,NA,NA,NA,NA
"102",102,"frozen vegetables","frozen meals","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",103,"butter","coffee","domestic eggs","baking powder","frozen meals",NA,NA,NA,NA,NA,NA,NA
"104",104,"frozen vegetables","domestic eggs","abrasive cleaner","honey","fish",NA,NA,NA,NA,NA,NA,NA
"105",105,"coffee","ice cream","butter","frozen vegetables","domestic eggs","fish","frozen meals",NA,NA,NA,NA,NA
"106",106,"coffee","butter","baking powder","domestic eggs","frozen meals",NA,NA,NA,NA,NA,NA,NA
"107",107,"cake bar","ice cream","abrasive cleaner","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA
"108",108,"domestic eggs","cake bar","baking powder","butter","frozen vegetables",NA,NA,NA,NA,NA,NA,NA
"109",109,"coffee","abrasive cleaner","frozen vegetables","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"110",110,"butter","ice cream","grapes","baking powder","coffee","frozen meals",NA,NA,NA,NA,NA,NA
"111",111,"butter","frozen meals","ice cream","baking powder",NA,NA,NA,NA,NA,NA,NA,NA
"112",112,"abrasive cleaner","fish","honey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",113,"cake bar","grapes","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",114,"frozen meals","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",115,"frozen vegetables","butter","fish","baking powder",NA,NA,NA,NA,NA,NA,NA,NA
"116",116,"fish","cake bar","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",117,"coffee","frozen vegetables","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",118,"fish","butter","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"119",119,"frozen meals","fish","cake bar",NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",120,"grapes","honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",121,"baking powder","domestic eggs","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",122,"cake bar","baking powder","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"123",123,"butter","ice cream","baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",124,"baking powder","butter","abrasive cleaner","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA
"125",125,"fish","abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",126,"grapes","butter","frozen vegetables","fish",NA,NA,NA,NA,NA,NA,NA,NA
"127",127,"baking powder","grapes","frozen meals","butter",NA,NA,NA,NA,NA,NA,NA,NA
"128",128,"frozen vegetables","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",129,"frozen meals","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",130,"abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",131,"coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",132,"butter","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",133,"grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",134,"grapes","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",135,"frozen vegetables","frozen meals","cake bar","ice cream",NA,NA,NA,NA,NA,NA,NA,NA
"136",136,"abrasive cleaner","frozen vegetables","butter","baking powder","ice cream",NA,NA,NA,NA,NA,NA,NA
"137",137,"grapes","baking powder","butter","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA
"138",138,"domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",139,"cake bar","frozen meals","ice cream","baking powder","coffee",NA,NA,NA,NA,NA,NA,NA
"140",140,"baking powder","coffee","ice cream","cake bar","frozen meals",NA,NA,NA,NA,NA,NA,NA
"141",141,"grapes","baking powder","frozen meals","ice cream",NA,NA,NA,NA,NA,NA,NA,NA
"142",142,"butter","frozen meals","grapes","ice cream","baking powder",NA,NA,NA,NA,NA,NA,NA
"143",143,"ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144",144,"abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",145,"coffee","grapes","honey","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"146",146,"cake bar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",147,"cake bar","butter","ice cream","baking powder",NA,NA,NA,NA,NA,NA,NA,NA
"148",148,"grapes","butter","fish","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA
"149",149,"ice cream","domestic eggs","butter","baking powder",NA,NA,NA,NA,NA,NA,NA,NA
"150",150,"coffee","butter","baking powder","honey","frozen vegetables","frozen meals",NA,NA,NA,NA,NA,NA
"151",151,"fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152",152,"grapes","butter","baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",153,"honey","grapes","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"154",154,"honey","butter","frozen vegetables","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"155",155,"coffee","honey","butter","ice cream","frozen meals",NA,NA,NA,NA,NA,NA,NA
"156",156,"fish","abrasive cleaner","honey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",157,"cake bar","grapes","frozen vegetables","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA
"158",158,"cake bar","butter","domestic eggs","grapes","frozen vegetables",NA,NA,NA,NA,NA,NA,NA
"159",159,"frozen meals","baking powder","frozen vegetables","ice cream",NA,NA,NA,NA,NA,NA,NA,NA
"160",160,"grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",161,"butter","grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162",162,"honey","grapes","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",163,"cake bar","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164",164,"fish","butter","domestic eggs","cake bar","frozen vegetables",NA,NA,NA,NA,NA,NA,NA
"165",165,"baking powder","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",166,"butter","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",167,"fish","baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",168,"abrasive cleaner","frozen meals","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",169,"baking powder","ice cream","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",170,"abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",171,"domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",172,"baking powder","grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",173,"abrasive cleaner","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",174,"coffee","cake bar","domestic eggs","frozen meals","baking powder",NA,NA,NA,NA,NA,NA,NA
"175",175,"domestic eggs","ice cream","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"176",176,"abrasive cleaner","butter","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",177,"coffee","fish","baking powder","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"178",178,"baking powder","domestic eggs","frozen meals","grapes",NA,NA,NA,NA,NA,NA,NA,NA
"179",179,"butter","frozen meals","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA
"180",180,"cake bar","baking powder","frozen meals","grapes","fish",NA,NA,NA,NA,NA,NA,NA
"181",181,"frozen meals","frozen vegetables","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA
"182",182,"frozen vegetables","abrasive cleaner","cake bar","ice cream",NA,NA,NA,NA,NA,NA,NA,NA
"183",183,"coffee","frozen vegetables","fish","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"184",184,"ice cream","frozen meals","frozen vegetables","domestic eggs","grapes",NA,NA,NA,NA,NA,NA,NA
"185",185,"coffee","frozen meals","honey","grapes",NA,NA,NA,NA,NA,NA,NA,NA
"186",186,"grapes","coffee","fish","honey","frozen meals",NA,NA,NA,NA,NA,NA,NA
"187",187,"frozen vegetables","grapes","domestic eggs","fish","cake bar",NA,NA,NA,NA,NA,NA,NA
"188",188,"fish","abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",189,"grapes","frozen meals","coffee","cake bar","fish",NA,NA,NA,NA,NA,NA,NA
"190",190,"cake bar","domestic eggs","grapes","baking powder",NA,NA,NA,NA,NA,NA,NA,NA
"191",191,"abrasive cleaner","cake bar","domestic eggs","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA
"192",192,"honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193",193,"abrasive cleaner","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194",194,"grapes","ice cream","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA,NA
"195",195,"fish","honey","frozen meals","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA
"196",196,"baking powder","fish","frozen vegetables","frozen meals","butter","domestic eggs",NA,NA,NA,NA,NA,NA
"197",197,"fish","cake bar","frozen vegetables","coffee","frozen meals","honey",NA,NA,NA,NA,NA,NA
"198",198,"frozen meals","cake bar","domestic eggs","abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA
"199",199,"fish","butter","frozen meals","ice cream","baking powder",NA,NA,NA,NA,NA,NA,NA
"200",200,"domestic eggs","abrasive cleaner","coffee","fish","frozen meals",NA,NA,NA,NA,NA,NA,NA
"201",201,"coffee","fish","ice cream","baking powder","frozen meals",NA,NA,NA,NA,NA,NA,NA
"202",202,"cake bar","frozen vegetables","baking powder","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA
"203",203,"coffee","butter","baking powder","frozen vegetables","domestic eggs","frozen meals",NA,NA,NA,NA,NA,NA
"204",204,"coffee","frozen meals","grapes","butter",NA,NA,NA,NA,NA,NA,NA,NA
"205",205,"butter","coffee","domestic eggs","ice cream","frozen vegetables","frozen meals",NA,NA,NA,NA,NA,NA
"206",206,"honey","abrasive cleaner","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA
"207",207,"fish","grapes","baking powder","abrasive cleaner","butter",NA,NA,NA,NA,NA,NA,NA
"208",208,"honey","abrasive cleaner","coffee","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA
"209",209,"frozen vegetables","coffee","baking powder","fish","frozen meals",NA,NA,NA,NA,NA,NA,NA
"210",210,"frozen meals","ice cream","domestic eggs","coffee","fish","honey",NA,NA,NA,NA,NA,NA
"211",211,"domestic eggs","fish","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA
"212",212,"fish","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213",213,"coffee","frozen meals","butter","honey",NA,NA,NA,NA,NA,NA,NA,NA
"214",214,"frozen meals","grapes","abrasive cleaner","coffee",NA,NA,NA,NA,NA,NA,NA,NA
"215",215,"frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",216,"frozen vegetables","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217",217,"butter","grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218",218,"abrasive cleaner","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219",219,"coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220",220,"baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",221,"coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222",222,"abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223",223,"domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",224,"coffee","baking powder","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"225",225,"butter","honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",226,"cake bar","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227",227,"ice cream","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228",228,"frozen vegetables","frozen meals","honey","domestic eggs",NA,NA,NA,NA,NA,NA,NA,NA
"229",229,"coffee","ice cream","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"230",230,"frozen meals","frozen vegetables","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA
"231",231,"butter","frozen meals","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA
"232",232,"fish","frozen meals","ice cream","grapes",NA,NA,NA,NA,NA,NA,NA,NA
"233",233,"baking powder","butter","frozen meals","cake bar",NA,NA,NA,NA,NA,NA,NA,NA
"234",234,"cake bar","coffee","butter","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA
"235",235,"baking powder","cake bar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",236,"butter","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237",237,"grapes","frozen vegetables","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA
"238",238,"honey","grapes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239",239,"baking powder","cake bar","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA
"240",240,"fish","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241",241,"grapes","butter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242",242,"domestic eggs","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA,NA,NA
"243",243,"cake bar","frozen meals","ice cream","honey",NA,NA,NA,NA,NA,NA,NA,NA
"244",244,"butter","coffee","abrasive cleaner","ice cream","baking powder","fish","frozen meals",NA,NA,NA,NA,NA
"245",245,"ice cream","baking powder","coffee","butter","grapes","frozen meals",NA,NA,NA,NA,NA,NA
"246",246,"domestic eggs","coffee","frozen meals","abrasive cleaner","fish","cake bar",NA,NA,NA,NA,NA,NA
"247",247,"frozen vegetables","baking powder","cake bar","abrasive cleaner","ice cream","butter",NA,NA,NA,NA,NA,NA
"248",248,"baking powder","butter","honey","abrasive cleaner",NA,NA,NA,NA,NA,NA,NA,NA
"249",249,"coffee","butter","fish","domestic eggs","baking powder","frozen vegetables","frozen meals",NA,NA,NA,NA,NA
"250",250,"frozen vegetables","honey","cake bar","baking powder","butter","frozen meals",NA,NA,NA,NA,NA,NA
"251",251,"fish","ice cream","honey","coffee","frozen meals",NA,NA,NA,NA,NA,NA,NA
"252",252,"abrasive cleaner","domestic eggs","fish","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA
"253",253,"coffee","butter","grapes","fish","frozen meals",NA,NA,NA,NA,NA,NA,NA
"254",254,"frozen vegetables","baking powder","domestic eggs","butter","abrasive cleaner",NA,NA,NA,NA,NA,NA,NA
"255",255,"domestic eggs","ice cream","frozen meals","coffee","fish",NA,NA,NA,NA,NA,NA,NA
"256",256,"coffee","butter","baking powder","ice cream","frozen meals",NA,NA,NA,NA,NA,NA,NA
"257",257,"baking powder","cake bar","butter","fish","coffee","frozen meals",NA,NA,NA,NA,NA,NA
"258",258,"domestic eggs","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259",259,"honey","abrasive cleaner","frozen vegetables","butter",NA,NA,NA,NA,NA,NA,NA,NA
"260",260,"butter","frozen vegetables","baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA
"261",261,"frozen vegetables","baking powder","grapes","butter","coffee","honey","frozen meals",NA,NA,NA,NA,NA
"262",262,"butter","fish","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA
"263",263,"honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264",264,"cake bar","ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265",265,"ice cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266",266,"frozen vegetables","ice cream","honey","cake bar",NA,NA,NA,NA,NA,NA,NA,NA
"267",267,"ice cream","baking powder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268",268,"coffee","cake bar","frozen vegetables","baking powder","butter","frozen meals",NA,NA,NA,NA,NA,NA
"269",269,"coffee","fish","frozen meals","honey","abrasive cleaner","grapes",NA,NA,NA,NA,NA,NA
"270",270,"baking powder","frozen vegetables","honey","coffee","frozen meals","butter",NA,NA,NA,NA,NA,NA
"271",271,"frozen vegetables","frozen meals","butter","baking powder",NA,NA,NA,NA,NA,NA,NA,NA
"272",272,"grapes","frozen vegetables","baking powder","frozen meals","butter",NA,NA,NA,NA,NA,NA,NA
"273",273,"frozen vegetables","butter","coffee","abrasive cleaner","ice cream","fish","frozen meals",NA,NA,NA,NA,NA
"274",274,"frozen vegetables","coffee","fish","grapes","frozen meals",NA,NA,NA,NA,NA,NA,NA
"275",275,"fish","frozen meals","butter","ice cream",NA,NA,NA,NA,NA,NA,NA,NA
"276",276,"baking powder","coffee","butter","grapes","cake bar","frozen meals",NA,NA,NA,NA,NA,NA
"277",277,"baking powder","butter","grapes","frozen vegetables","cake bar","frozen meals","ice cream",NA,NA,NA,NA,NA
"278",278,"ice cream","grapes","honey","butter","cake bar",NA,NA,NA,NA,NA,NA,NA
"279",279,"honey","ice cream","grapes","domestic eggs","butter","frozen vegetables","baking powder",NA,NA,NA,NA,NA
"280",280,"fish","butter","baking powder","frozen meals","frozen vegetables","coffee",NA,NA,NA,NA,NA,NA
